fund_id,category,aum_cr,history_years,cagr_3y,cagr_5y,sharpe,sortino,annual_vol,max_drawdown,var_95,expense_ratio,exit_load,rolling_alpha_std,f_return,f_risk,f_cost,f_consistency
EL0063,ELSS,2713.3,11.34,10.91,10.62,0.349,0.61,11.79,18.96,9.95,0.84,0.5,10.038,0.2864067530861766,0.8533138238222008,0.662828947368421,0.12380344607530314
EL0064,ELSS,1815.5,5.14,6.47,6.67,0.016,0.019,10.43,22.08,6.66,1.25,0.5,4.637,0.026304010839683603,0.9075043481818332,0.4605263157894737,0.6982556902786641
EL0065,ELSS,1384.6,5.65,20.04,19.07,0.753,1.276,16.71,31.54,13.11,1.41,0.0,6.419,0.727953151401346,0.5329395566891508,0.506578947368421,0.5087215486066794
EL0066,ELSS,1200.7,10.97,19.39,17.53,0.634,1.131,17.39,34.3,14.47,1.24,0.5,10.984,0.6387402461677159,0.4628932841621871,0.4654605263157894,0.023186556051903895
EL0067,ELSS,2663.2,13.56,15.76,14.29,0.601,0.785,12.95,23.95,8.99,0.69,0.5,5.886,0.4733995150969701,0.7824229987097795,0.736842105263158,0.5654116145500956
EL0068,ELSS,3327.9,11.26,14.93,14.14,0.389,0.484,19.64,30.33,12.25,0.82,1.0,5.949,0.40296959616329037,0.4809242396564528,0.5476973684210527,0.5587109125717932
EL0070,ELSS,770.7,14.67,13.8,14.81,0.404,0.568,20.55,42.38,12.89,0.86,0.0,8.895,0.439773862300615,0.3140114465944839,0.7779605263157895,0.24537332482450536
EL0071,ELSS,3841.4,5.53,20.24,18.11,0.659,1.012,17.61,29.58,15.25,1.39,0.5,3.823,0.647832015490287,0.49651466937465694,0.39144736842105265,0.7848330142522868
EL0072,ELSS,735.1,6.56,14.92,13.7,0.542,0.871,13.3,26.75,9.48,0.97,0.5,6.333,0.45545657368964254,0.7345306044608721,0.5986842105263157,0.5178685386088066
EL0073,ELSS,2755.2,14.72,12.69,11.76,0.294,0.379,17.87,32.79,13.53,1.14,1.0,5.078,0.29144923992797755,0.4813724321006516,0.38980263157894735,0.6513507764305466
EL0074,ELSS,6728.1,12.48,8.87,9.33,0.153,0.19,18.51,39.38,15.37,0.68,0.5,5.64,0.1616470492429101,0.3627762029341677,0.7417763157894737,0.591576260370134
EL0075,ELSS,6741.6,14.3,18.92,17.78,0.759,1.175,14.86,30.34,10.57,0.92,1.0,3.125,0.6692054843018236,0.6359402852380475,0.4983552631578947,0.8590725377579238
EL0076,ELSS,3214.1,12.87,14.28,13.26,0.555,0.878,12.17,17.44,9.67,0.84,0.5,7.892,0.44205821703797765,0.8641922892159343,0.662828947368421,0.35205275473303543
EL0077,ELSS,3138.8,11.17,8.88,6.68,0.011,0.017,16.8,35.34,10.47,1.17,0.5,5.344,0.025779193060644988,0.530392836499277,0.5,0.6230589236332694
EL0078,ELSS,11683.7,7.13,11.54,11.62,0.38,0.671,13.5,29.36,10.05,1.13,1.0,3.393,0.33427340723806565,0.6915010580681826,0.39473684210526316,0.8305679642629228
EL0080,ELSS,1287.6,14.42,14.08,12.79,0.412,0.739,15.28,22.86,10.31,0.95,1.0,4.815,0.38930938499362183,0.7108803912376113,0.48355263157894735,0.679323548181238
EL0081,ELSS,3519.1,13.47,15.16,14.35,0.362,0.461,21.67,44.34,14.91,0.82,0.0,6.836,0.4042385716789944,0.23050686942464216,0.7976973684210527,0.4643692831312486
EL0082,ELSS,1407.3,7.95,12.89,13.74,0.715,1.141,10.13,19.42,8.26,1.15,0.5,6.825,0.5130342110308844,0.9195742302719956,0.5098684210526316,0.46553924696872995
EL0083,ELSS,4878.0,8.11,16.99,15.28,0.519,0.686,16.9,28.25,13.56,0.79,0.0,6.706,0.48631426862435,0.5568648795726332,0.8125,0.4781961284833013
EL0084,ELSS,1747.8,7.27,14.75,13.24,0.324,0.455,20.79,43.81,17.13,1.42,0.5,2.209,0.3584705386904483,0.2250234211479455,0.3766447368421053,0.9564986173154648
EL0085,ELSS,1988.8,7.59,17.9,18.9,0.897,1.119,13.83,25.62,8.55,1.07,1.0,6.858,0.720150314969044,0.7473332505667223,0.42434210526315785,0.4620293554562859
EL0086,ELSS,1471.5,13.47,13.36,12.95,0.402,0.48,16.02,33.36,14.39,1.0,0.0,5.601,0.36101999770987214,0.5113493169860047,0.7088815789473684,0.5957243139757498
EL0088,ELSS,1216.7,8.8,12.69,12.68,0.427,0.741,14.45,23.56,12.25,1.08,0.5,5.46,0.38748022661942916,0.6949561714877712,0.544407894736842,0.6107211231652839
EL0089,ELSS,2214.6,14.37,11.61,11.07,0.265,0.342,17.23,37.57,14.17,0.6,0.5,2.981,0.2581019580975423,0.43601612111373966,0.78125,0.8743884279940438
EL0090,ELSS,1047.0,9.97,11.22,10.3,0.301,0.541,12.61,23.42,9.81,0.78,0.5,5.855,0.2599953471025199,0.7844706754194148,0.6924342105263157,0.5687087853648158
EL0091,ELSS,3837.2,8.95,13.82,14.32,0.484,0.784,16.17,29.32,11.83,1.42,1.0,3.337,0.45953491288433956,0.5920267093145604,0.2516447368421053,0.8365241437991916
EL0092,ELSS,3000.3,7.44,9.0,9.89,0.188,0.332,18.05,31.09,14.93,1.13,0.0,5.429,0.20435101351538643,0.47313291191432183,0.6447368421052632,0.6140182939800042
EL0094,ELSS,843.0,6.47,8.4,6.48,-0.001,-0.003,13.5,26.31,8.66,1.21,0.5,7.513,0.014482707336380615,0.7469035217312663,0.48026315789473684,0.3923633269517124
EL0095,ELSS,625.0,5.0,15.02,16.08,0.489,0.701,19.59,34.18,16.41,0.93,0.5,4.592,0.5133817446224529,0.37442535552021183,0.618421052631579,0.7030419059774515
EL0096,ELSS,1794.4,5.39,10.18,9.25,0.147,0.217,18.69,40.14,11.65,0.84,0.5,8.608,0.16141100167477546,0.4082141396545039,0.662828947368421,0.27589874494788325
EL0097,ELSS,20676.6,5.8,13.28,11.87,0.402,0.539,13.38,29.05,10.03,0.76,0.5,7.274,0.3293886295343528,0.6984503875666787,0.7023026315789473,0.417783450329717
EL0098,ELSS,4988.2,7.32,16.43,15.73,0.732,1.149,12.62,25.41,10.01,1.4,0.5,4.736,0.5882597112030263,0.7591950398702906,0.38651315789473684,0.6877260157413316
EL0100,ELSS,2498.0,14.45,11.05,11.2,0.259,0.336,18.14,35.78,13.4,0.85,0.5,3.352,0.2612888296624699,0.44331801968095874,0.6578947368421053,0.8349287385662625
EL0101,ELSS,3187.2,5.36,14.02,13.21,0.387,0.57,17.33,24.54,11.63,1.14,0.5,6.375,0.37993729484669625,0.616453210821831,0.5148026315789473,0.5134014039566049
EL0102,ELSS,737.8,8.21,12.18,12.69,0.328,0.499,18.87,38.89,14.1,1.57,1.0,4.683,0.34463675188758724,0.3784842044325054,0.17763157894736836,0.6933631142310146
EL0103,ELSS,5445.5,13.67,11.72,11.38,0.315,0.396,15.52,27.86,10.48,1.27,1.0,7.901,0.2825041305456985,0.6468312118666512,0.32565789473684204,0.351095511593278
EL0104,ELSS,1590.2,5.17,12.21,11.02,0.33,0.424,13.73,29.5,10.41,0.85,1.0,4.375,0.2749167343541543,0.6780996117375585,0.5328947368421053,0.7261221016804935
EL0105,ELSS,1682.4,9.32,17.14,15.79,0.482,0.72,19.26,32.78,14.23,1.56,0.5,4.419,0.5044012701607238,0.4330396572630779,0.3075657894736842,0.721442246330568
EL0106,ELSS,1832.5,13.29,12.94,12.93,0.433,0.664,14.84,23.9,12.38,0.69,1.0,6.108,0.3875368489790675,0.6786769835903863,0.611842105263158,0.5417996171027442
EL0107,ELSS,4502.0,10.13,21.7,21.1,0.856,1.524,17.06,37.46,11.46,1.18,1.0,4.63,0.845932088724676,0.4845103085002693,0.3700657894736843,0.6990002127206977
EL0108,ELSS,1060.2,6.31,15.83,13.68,0.606,1.055,11.85,21.62,7.82,1.25,1.0,5.463,0.48615460962782747,0.8560563057605278,0.3355263157894737,0.6104020421186981
EL0109,ELSS,622.8,12.09,11.27,11.78,0.357,0.631,14.79,30.92,10.98,0.84,0.5,7.458,0.3320847484940689,0.6249928489919521,0.662828947368421,0.3982131461391193
EL0110,ELSS,2306.0,11.49,13.33,12.25,0.294,0.528,19.53,41.57,12.01,1.31,1.0,6.273,0.3280708310927485,0.3642283010634557,0.30592105263157887,0.5242501595405233
EL0111,ELSS,538.4,7.98,11.93,13.34,0.477,0.8,14.35,26.04,9.6,0.95,0.5,5.866,0.4251894182329733,0.7121770836652951,0.6085526315789473,0.5675388215273346
EL0114,ELSS,2826.0,13.08,10.21,8.87,0.16,0.199,14.82,30.8,10.09,1.2,0.5,6.391,0.1470176819662372,0.6395300792551917,0.48519736842105265,0.5116996383748138
EL0115,ELSS,4132.8,7.54,12.61,10.94,0.278,0.376,15.99,34.72,12.28,0.98,1.0,6.067,0.259349676333058,0.5304755881963193,0.46875,0.5461603914060837
EL0116,ELSS,2921.6,5.52,16.69,15.6,0.419,0.568,21.73,36.13,18.76,1.44,0.0,7.845,0.47028031508947643,0.25837750076226007,0.4917763157894737,0.3570516911295468
EL0117,ELSS,13428.2,9.7,18.45,20.07,1.044,1.779,12.99,25.87,9.92,1.09,0.5,6.63,0.8647650066935582,0.7456035727882007,0.5394736842105262,0.4862795149968091
EL0118,ELSS,1183.4,14.13,18.92,18.59,0.653,0.86,18.51,30.14,12.7,1.47,0.5,5.618,0.6451938187958325,0.5063313223206232,0.3519736842105263,0.5939161880450967
EL0121,ELSS,3848.7,8.59,17.04,14.48,0.519,0.62,15.38,32.44,11.82,1.34,1.0,6.175,0.44898388480236373,0.5791820771443554,0.2911184210526315,0.5346734737289938
EL0122,ELSS,1719.1,11.44,10.84,9.69,0.189,0.233,16.92,29.77,13.63,1.34,1.0,5.294,0.18469215845314288,0.53853055661106,0.2911184210526315,0.6283769410763667
EL0123,ELSS,7345.8,9.24,8.6,7.34,0.069,0.112,12.06,20.44,7.41,1.24,0.5,6.296,0.06906329756617524,0.8698250683278175,0.4654605263157894,0.5218038715166985
EL0124,ELSS,1230.3,13.87,15.9,15.13,0.57,0.739,15.13,24.26,9.92,0.41,0.0,5.033,0.49405983274420207,0.7056890839031817,1.0,0.6561369921293341
EL0126,ELSS,2858.2,7.74,14.29,13.68,0.397,0.712,18.07,30.57,12.57,1.52,1.0,9.577,0.41621479334654776,0.5154999755699234,0.20230263157894735,0.17283556690065938
EL0127,ELSS,1756.8,7.86,14.88,15.62,0.569,1.018,16.03,33.62,14.23,0.72,0.5,7.355,0.5470260548877502,0.5107464989779995,0.7220394736842105,0.4091682620718995
EL0128,ELSS,2744.1,7.74,15.29,16.74,0.608,1.012,16.84,29.22,11.13,1.36,1.0,8.621,0.5917624598343498,0.5861249330526465,0.2812499999999999,0.27451606041267806
EL0129,ELSS,2197.6,9.36,17.5,14.73,0.451,0.595,18.24,30.17,11.29,1.31,1.0,3.189,0.44625305071600907,0.5354908275090824,0.30592105263157887,0.8522654754307594
EL0130,ELSS,2366.4,12.7,17.16,15.7,0.489,0.742,18.82,37.47,13.28,0.88,0.5,3.447,0.5048167429373547,0.4083480631471341,0.6430921052631579,0.8248245054243778
EL0131,ELSS,1545.2,7.5,15.12,13.6,0.479,0.863,14.83,23.32,9.5,0.5,0.5,5.108,0.4428396897125278,0.7307058198764484,0.8305921052631579,0.6481599659646884
EL0132,ELSS,1097.7,12.19,13.09,12.76,0.297,0.35,21.1,33.87,13.46,0.93,0.5,6.263,0.32436499132408575,0.3836831607804311,0.618421052631579,0.5253137630291427
EL0133,ELSS,1409.5,5.61,14.84,12.88,0.312,0.439,20.45,43.94,14.77,1.72,0.5,5.779,0.34188726033229033,0.2699411053718548,0.22861842105263153,0.5767921718783238
EL0134,ELSS,629.8,10.17,12.59,14.11,0.411,0.615,18.53,27.15,12.82,0.84,0.5,3.027,0.4212687881763643,0.5367383152297945,0.662828947368421,0.8694958519463943
EL0135,ELSS,3500.2,8.13,13.87,13.42,0.496,0.702,13.97,24.19,8.77,0.86,0.5,7.691,0.4180767169889445,0.7558024351220793,0.6529605263157895,0.3734311848542863
EL0136,ELSS,793.5,9.93,22.88,22.23,1.17,1.658,13.44,25.02,10.5,0.8,0.0,9.453,0.9436121586290125,0.7336860704348076,0.8075657894736842,0.1860242501595405
EL0137,ELSS,1533.2,5.19,15.08,16.49,0.644,0.932,15.52,24.59,11.65,1.46,0.5,8.047,0.5771350424161116,0.6643030110864425,0.35690789473684215,0.33556690065943406
EL0138,ELSS,2987.8,14.49,15.94,15.42,0.535,0.729,16.68,27.11,10.4,1.03,0.0,7.789,0.49885912253694165,0.6251085376074176,0.694078947368421,0.36300787066581575
EL0139,ELSS,3492.9,13.97,12.24,12.22,0.511,0.627,11.19,17.66,9.61,0.91,0.5,5.803,0.3670225413193163,0.8890974485144605,0.6282894736842105,0.574239523505637
EL0140,ELSS,603.7,13.09,17.76,16.36,0.548,0.856,17.98,30.14,12.33,1.52,0.5,4.421,0.5506348987574241,0.5264270396657805,0.32730263157894735,0.721229525632844
EL0141,ELSS,1681.0,13.82,16.93,14.79,0.407,0.585,20.36,43.14,18.09,1.27,0.5,6.26,0.441583713253054,0.22882438095829505,0.45065789473684204,0.5256328440757285
EL0142,ELSS,2568.8,5.61,16.96,15.72,0.506,0.918,18.23,31.82,16.03,0.82,1.0,9.748,0.5299945384847574,0.4429349850507476,0.5476973684210527,0.15464794724526698
EL0143,ELSS,1871.9,9.54,15.19,17.31,0.747,0.925,14.47,25.1,10.57,0.73,0.5,5.024,0.6189907035720068,0.7039829784909903,0.7171052631578947,0.6570942352690916
EL0144,ELSS,5328.6,7.5,17.81,18.07,0.82,1.277,14.12,24.13,9.44,1.45,0.0,4.81,0.70035890776577,0.7418647850069805,0.48684210526315785,0.6798553499255477
EL0145,ELSS,1015.9,13.76,18.57,18.4,0.684,1.083,17.4,37.78,14.8,1.11,1.0,7.885,0.6704963670505275,0.41920544013115646,0.4046052631578947,0.35279727717506904
EL0146,ELSS,537.2,6.08,15.41,13.73,0.451,0.531,16.04,23.96,11.36,0.64,1.0,7.896,0.4019340684044749,0.6617970561003936,0.6365131578947368,0.3516273133375877
EL0147,ELSS,3410.4,6.42,14.13,14.73,0.461,0.636,17.83,37.4,11.57,0.57,0.5,4.4,0.45271488156808387,0.4627119026380765,0.7960526315789473,0.7234630929589448
EL0148,ELSS,1225.0,11.55,17.36,15.23,0.477,0.813,18.31,30.42,14.01,0.77,1.0,5.494,0.49527348580589087,0.48799292719162146,0.5723684210526316,0.6071048713039778
EL0150,ELSS,1600.6,12.06,12.2,11.03,0.346,0.527,13.1,21.65,11.2,0.49,1.0,5.674,0.29035643985671217,0.76881420624951,0.7105263157894737,0.5879600085088278
EL0151,ELSS,4840.2,6.95,14.33,16.17,0.564,0.666,17.16,25.17,14.05,0.77,0.5,7.86,0.5217087488809822,0.5759695693958311,0.6973684210526316,0.3554562858966176
EL0152,ELSS,781.2,11.27,8.93,10.71,0.273,0.402,15.41,27.98,13.3,0.82,0.5,4.286,0.25368212604917206,0.604029439957011,0.6726973684210527,0.7355881727292066
EL0153,ELSS,12578.6,13.6,17.15,16.11,0.593,0.958,16.2,25.64,13.29,0.96,0.0,7.758,0.5602076713930344,0.6086232313766589,0.7286184210526316,0.366305041480536
EL0154,ELSS,1005.7,10.71,11.42,10.11,0.189,0.262,19.09,38.23,15.13,1.61,1.0,6.21,0.2035747404633284,0.3635780930652186,0.1578947368421052,0.5309508615188258
EL0155,ELSS,1922.2,6.34,12.99,10.52,0.207,0.309,19.42,37.4,14.57,1.02,0.5,10.241,0.22665651465863423,0.37263751656005095,0.5740131578947367,0.10221229525632847
EL0159,ELSS,692.6,10.38,14.28,14.88,0.532,0.649,15.74,25.96,13.11,1.22,0.5,5.152,0.4687893998048994,0.6203262168351087,0.475328947368421,0.6434801106147627
EL0160,ELSS,19381.3,7.83,14.31,13.57,0.626,0.795,11.3,24.84,8.73,1.18,0.5,2.172,0.45176289186180707,0.8211545259736601,0.4950657894736843,0.9604339502233568
EL0161,ELSS,1260.5,6.67,13.07,13.24,0.328,0.573,20.52,40.74,13.91,1.14,0.5,5.709,0.37392825170913696,0.3167538810843551,0.5148026315789473,0.5842373962986598
EL0162,ELSS,1261.2,6.41,12.03,10.69,0.269,0.351,15.53,29.09,13.4,1.93,1.0,5.281,0.24598928457208924,0.5870335832818914,0.0,0.6297596256115721
EL0163,ELSS,3888.0,14.43,17.96,18.11,0.644,0.824,18.02,37.72,10.87,1.37,0.5,3.075,0.622111394647715,0.4651162984297954,0.4013157894736842,0.864390555201021
EL0164,ELSS,7977.5,5.31,7.77,6.66,0.008,0.012,18.54,34.69,12.39,0.78,1.0,5.851,0.02404137217272918,0.4604410203242869,0.5674342105263157,0.5691342267602637
EL0165,ELSS,4434.1,7.35,13.84,13.89,0.579,0.801,12.76,23.51,9.2,1.21,0.5,1.8,0.4581552924606047,0.7890590729323003,0.48026315789473684,1.0
